App,Category,Rating,Reviews,Size,Installs,Type,Price,Content Rating,Genres,Last Updated,Current Ver,Android Ver,Sentiment_Polarity,Size_MB
Coloring book moana,ART_AND_DESIGN,3.9,967,14M,"500,000+",Free,0.0,Everyone,Art & Design;Pretend Play,"January 15, 2018",2.0.0,4.0.3 and up,0.15265151515151515,14.0
Garden Coloring Book,ART_AND_DESIGN,4.4,13791,33M,"1,000,000+",Free,0.0,Everyone,Art & Design,"September 20, 2017",2.9.2,3.0 and up,0.2684828944203944,33.0
FlipaClip - Cartoon animation,ART_AND_DESIGN,4.3,194216,39M,"5,000,000+",Free,0.0,Everyone,Art & Design,"August 3, 2018",2.2.5,4.0.3 and up,0.41264880952380956,39.0
Boys Photo Editor - Six Pack & Men's Suit,ART_AND_DESIGN,4.1,654,12M,"100,000+",Free,0.0,Everyone,Art & Design,"March 20, 2018",1.1,4.0.3 and up,0.28350877192982454,12.0
Colorfit - Drawing & Coloring,ART_AND_DESIGN,4.7,20260,25M,"500,000+",Free,0.0,Everyone,Art & Design;Creativity,"October 11, 2017",1.0.8,4.0.3 and up,0.1718359526825084,25.0
Animated Photo Editor,ART_AND_DESIGN,4.1,203,6.1M,"100,000+",Free,0.0,Everyone,Art & Design,"March 21, 2018",1.03,4.0.3 and up,0.29185714285714287,6.1
Anime Manga Coloring Book,ART_AND_DESIGN,4.5,5035,11M,"100,000+",Free,0.0,Everyone,Art & Design,"July 19, 2018",2.20,4.0 and up,0.3609907670454546,11.0
Easy Origami Ideas,ART_AND_DESIGN,4.2,1015,11M,"100,000+",Free,0.0,Everyone,Art & Design,"January 6, 2018",1.1.0,4.1 and up,0.09945261437908497,11.0
"Canva: Poster, banner, card maker & graphic design",ART_AND_DESIGN,4.7,174531,24M,"10,000,000+",Free,0.0,Everyone,Art & Design,"July 31, 2018",1.6.1,4.1 and up,0.20483956893496366,24.0
CDL Practice Test 2018 Edition,AUTO_AND_VEHICLES,4.9,7774,17M,"100,000+",Free,0.0,Everyone,Auto & Vehicles,"July 3, 2018",1.7,4.2 and up,0.24112599206349206,17.0
Free VIN Report for Used Cars,AUTO_AND_VEHICLES,4.6,2431,2.4M,"100,000+",Free,0.0,Everyone,Auto & Vehicles,"June 12, 2018",1.37,4.0 and up,0.30857474747474745,2.4
DMV Permit Practice Test 2018 Edition,AUTO_AND_VEHICLES,4.9,6090,27M,"100,000+",Free,0.0,Everyone,Auto & Vehicles,"July 3, 2018",1.7,4.2 and up,0.29566032132549985,27.0
"Android Auto - Maps, Media, Messaging & Voice",AUTO_AND_VEHICLES,4.2,271920,16M,"10,000,000+",Free,0.0,Teen,Auto & Vehicles,"July 11, 2018",Varies with device,5.0 and up,0.28779230407542616,16.0
Best Car Wallpapers,AUTO_AND_VEHICLES,4.5,994,2.9M,"100,000+",Free,0.0,Everyone,Auto & Vehicles,"March 27, 2018",1.6,4.1 and up,-0.13333333333333328,2.9
BEST CAR SOUNDS,AUTO_AND_VEHICLES,4.3,348,38M,"100,000+",Free,0.0,Everyone,Auto & Vehicles,"July 29, 2018",1.0.3,2.3 and up,0.3076986076986077,38.0
"BestCam Selfie-selfie, beauty camera, photo editor",BEAUTY,3.9,1739,21M,"500,000+",Free,0.0,Everyone,Beauty,"July 12, 2018",1.0.6,4.0.3 and up,-0.03798581048581047,21.0
Hairstyles step by step,BEAUTY,4.6,4369,14M,"100,000+",Free,0.0,Everyone,Beauty,"July 25, 2018",1.9,4.0.3 and up,0.47091306584362136,14.0
Filters for Selfie,BEAUTY,4.3,8572,25M,"1,000,000+",Free,0.0,Everyone,Beauty,"May 10, 2018",1.1.0,4.0 and up,0.09912037037037036,25.0
Filters for B Live,BEAUTY,4.4,2280,24M,"500,000+",Free,0.0,Everyone,Beauty,"May 14, 2018",1.1.0,4.0 and up,0.16801767676767676,24.0
Dresses Ideas & Fashions +3000,BEAUTY,4.5,473,8.2M,"100,000+",Free,0.0,Mature 17+,Beauty,"March 1, 2017",1.0.2.0,1.6 and up,0.4306034482758621,8.2
Free Panda Radio Music,BOOKS_AND_REFERENCE,4.5,418,4.2M,"100,000+",Free,0.0,Everyone,Books & Reference,"March 27, 2018",2.1,4.1 and up,0.25,4.2
AlReader -any text book reader,BOOKS_AND_REFERENCE,4.6,90468,5.9M,"5,000,000+",Free,0.0,Everyone,Books & Reference,"May 27, 2018",1.911805270,2.3 and up,0.2455511849261849,5.9
FamilySearch Tree,BOOKS_AND_REFERENCE,4.3,17506,17M,"1,000,000+",Free,0.0,Everyone,Books & Reference,"July 20, 2018",2.3.18,4.1 and up,0.20932583022687187,17.0
Ebook Reader,BOOKS_AND_REFERENCE,4.1,85842,37M,"5,000,000+",Free,0.0,Everyone,Books & Reference,"June 25, 2018",5.0.6,4.0 and up,0.34253248776686274,37.0
All Maths Formulas,BOOKS_AND_REFERENCE,4.4,2709,6.8M,"1,000,000+",Free,0.0,Everyone,Books & Reference,"July 11, 2018",1.9,4.4 and up,0.354636544011544,6.8
English-Myanmar Dictionary,BOOKS_AND_REFERENCE,4.4,8788,10M,"1,000,000+",Free,0.0,Everyone,Books & Reference,"July 28, 2018",2.5.3,4.0 and up,0.3935134237107921,10.0
Golden Dictionary (EN-AR),BOOKS_AND_REFERENCE,4.4,51269,6.1M,"1,000,000+",Free,0.0,Everyone,Books & Reference,"July 19, 2018",7.0.4.6,4.2 and up,0.34045045045045047,6.1
All Language Translator Free,BOOKS_AND_REFERENCE,4.4,30105,2.1M,"1,000,000+",Free,0.0,Everyone,Books & Reference,"July 29, 2018",1.15,4.0.3 and up,0.3927835497835498,2.1
Azpen eReader,BOOKS_AND_REFERENCE,3.5,156,42M,"500,000+",Free,0.0,Everyone,Books & Reference,"February 15, 2018",3.1.7.9,2.2 and up,0.24262422360248445,42.0
Curriculum vitae App CV Builder Free Resume Maker,BUSINESS,4.5,4458,3.9M,"500,000+",Free,0.0,Everyone,Business,"July 8, 2018",3.3,4.1 and up,0.3937034821903243,3.9
Google Primer,BUSINESS,4.4,62272,18M,"10,000,000+",Free,0.0,Everyone,Business,"June 26, 2018",3.550.2,4.1 and up,0.75,18.0
Call Blocker,BUSINESS,4.6,188841,3.2M,"5,000,000+",Free,0.0,Everyone,Business,"June 21, 2018",1.1.13,4.0 and up,0.02797258297258297,3.2
Fast Scanner : Free PDF Scan,BUSINESS,4.5,103755,14M,"10,000,000+",Free,0.0,Everyone,Business,"July 11, 2018",3.9.2,4.1 and up,0.3130631605631605,14.0
Google Ads,BUSINESS,4.3,29313,20M,"5,000,000+",Free,0.0,Everyone,Business,"July 30, 2018",1.12.0,4.0.3 and up,0.1399653371320038,20.0
FreshBooks Classic,BUSINESS,4.1,1802,26M,"100,000+",Free,0.0,Everyone,Business,"April 18, 2018",1.7.14,4.2 and up,0.10052989270057915,26.0
HipChat - Chat Built for Teams,BUSINESS,3.8,5868,20M,"500,000+",Free,0.0,Everyone,Business,"July 3, 2018",3.19.005,4.1 and up,-0.037827876788915756,20.0
Crew - Free Messaging and Scheduling,BUSINESS,4.6,4159,48M,"500,000+",Free,0.0,Everyone,Business,"July 20, 2018",6.1.2,4.0.3 and up,0.4173319523358586,48.0
Asana: organize team projects,BUSINESS,4.3,20815,10M,"1,000,000+",Free,0.0,Everyone,Business,"July 26, 2018",6.4.4,5.0 and up,0.2306454630830486,10.0
AdWords Express,BUSINESS,4.1,7149,11M,"1,000,000+",Free,0.0,Everyone,Business,"July 31, 2018",2.6.158,4.0 and up,0.1948439393939394,11.0
Accounting App - Zoho Books,BUSINESS,4.5,3079,8.5M,"100,000+",Free,0.0,Everyone,Business,"August 2, 2018",5.20.7,4.1 and up,0.44866448692152916,8.5
Cisco Webex Meetings,BUSINESS,4.4,108741,28M,"10,000,000+",Free,0.0,Everyone,Business,"July 20, 2018",11.1.0,4.3 and up,0.10357702482702483,28.0
Cisco Webex Teams,BUSINESS,4.2,1661,46M,"100,000+",Free,0.0,Everyone,Business,"August 2, 2018",3.0.4651,4.4 and up,0.1294181246993747,46.0
Google Ads,BUSINESS,4.3,29313,20M,"5,000,000+",Free,0.0,Everyone,Business,"July 30, 2018",1.12.0,4.0.3 and up,0.1399653371320038,20.0
FreshBooks Classic,BUSINESS,4.1,1802,26M,"100,000+",Free,0.0,Everyone,Business,"April 18, 2018",1.7.14,4.2 and up,0.10052989270057915,26.0
HipChat - Chat Built for Teams,BUSINESS,3.8,5868,20M,"500,000+",Free,0.0,Everyone,Business,"July 3, 2018",3.19.005,4.1 and up,-0.037827876788915756,20.0
Crew - Free Messaging and Scheduling,BUSINESS,4.6,4159,48M,"500,000+",Free,0.0,Everyone,Business,"July 20, 2018",6.1.2,4.0.3 and up,0.4173319523358586,48.0
Asana: organize team projects,BUSINESS,4.3,20815,10M,"1,000,000+",Free,0.0,Everyone,Business,"July 26, 2018",6.4.4,5.0 and up,0.2306454630830486,10.0
AdWords Express,BUSINESS,4.1,7149,11M,"1,000,000+",Free,0.0,Everyone,Business,"July 31, 2018",2.6.158,4.0 and up,0.1948439393939394,11.0
Accounting App - Zoho Books,BUSINESS,4.5,3079,8.5M,"100,000+",Free,0.0,Everyone,Business,"August 2, 2018",5.20.7,4.1 and up,0.44866448692152916,8.5
Fast Scanner : Free PDF Scan,BUSINESS,4.5,103755,14M,"10,000,000+",Free,0.0,Everyone,Business,"July 11, 2018",3.9.2,4.1 and up,0.3130631605631605,14.0
